YEAR,Month,AmphiPtSSS,RaceRocksSSS
1997,MAY,28.22,30.43
1997,JUN,28.81,30.58
1997,JUL,30.3,30.34
1997,AUG,30.47,29.9
1997,SEP,29.79,30.74
1997,OCT,29.35,30.58
1997,NOV,28.86,30.49
1997,DEC,28.77,30.52
1998,JAN,28.81,30.62
1998,FEB,28.66,30.39
1998,MAR,29,30.5
1998,APR,30.37,30.57
1998,MAY,31.31,31.08
1998,JUN,31.18,30.66
1998,JUL,31.12,30.89
1998,AUG,31.69,30.92
1998,SEP,31.56,31.04
1998,OCT,30.29,31.34
1998,NOV,29.53,31.2
1998,DEC,27.77,30.79
1999,JAN,27.76,30.58
1999,FEB,28.13,30.32
1999,MAR,28.38,30.58
1999,APR,30.06,30.68
1999,MAY,31.11,30.73
1999,JUN,31.38,30.72
1999,JUL,31.47,30.24
1999,AUG,31.04,30.29
1999,SEP,31.03,30.06
1999,OCT,30.78,30.8
1999,NOV,29.14,31.26
1999,DEC,28.19,30.71
2000,JAN,28.9,30.82
2000,FEB,28.84,30.8
2000,MAR,29.42,30.91
2000,APR,30.74,31.17
2000,MAY,29.08,31.07
2000,JUN,30.83,30.9
2000,JUL,31.67,30.55
2000,AUG,31.25,30.7
2000,SEP,31,30.78
